Date,Open,High,Low,Close,Volume
2012-07-12,776.9490,789.1992,775.8492,784.8990,520153
2012-07-11,767.9994,787.4490,764.9994,777.0492,1007437
2012-07-10,762.8994,774.2994,762.8994,768.5994,400992
2012-07-09,763.1994,769.8990,759.4992,762.2490,394692
2012-07-06,764.3994,774.4992,759.4992,764.0994,885169
2012-07-05,753.4494,763.9992,751.4994,756.3492,332304
2012-07-04,754.9992,757.3992,747.9990,752.5494,1151329
2012-07-03,748.9992,761.9490,743.2494,759.1992,655849
2012-07-02,747.3990,749.9994,733.9992,747.1992,337032
2012-06-29,751.9992,752.1990,740.2494,744.9990,608677
2012-06-28,747.8490,755.5494,742.9992,751.3494,237444
2012-06-27,752.5992,753.9990,743.2992,749.6490,396072
2012-06-26,748.3992,754.9992,738.9492,751.2492,619321
2012-06-25,762.9990,768.8490,744.2994,748.4490,444108
2012-06-22,765.9990,771.1992,758.0490,762.8490,571141
2012-06-21,761.9994,774.5994,760.5990,763.4994,1047673
2012-06-20,758.6994,761.4990,753.6990,758.5992,743305
2012-06-19,740.7990,757.9992,737.2494,751.0992,1255813
2012-06-18,743.9994,748.7994,732.9996,737.5494,328476
2012-06-15,735.9990,749.2992,733.1496,740.6490,717217
2012-06-14,732.9996,742.5990,724.0494,737.0994,617245
2012-06-13,731.9994,738.4494,727.3992,729.6996,408396
2012-06-12,713.9994,735.9990,712.0494,732.8994,988369
2012-06-11,712.8996,727.1994,707.0994,711.0996,1269589
2012-06-08,698.6994,707.9994,692.7996,702.4992,432180
2012-06-07,705.9996,705.9996,697.9992,701.8494,335544
2012-06-06,704.9994,711.3996,696.1494,704.4492,418548
2012-06-05,717.8994,721.3992,700.2492,703.5492,528481
2012-06-04,695.9994,719.4996,690.9996,715.9494,1053313
2012-06-01,697.7994,701.3496,684.0492,694.2492,788929
2012-05-31,690.9996,702.6996,682.4994,696.4992,800113
2012-05-30,697.9992,697.9992,679.9992,691.0494,982381
2012-05-29,716.9994,718.6992,694.6992,700.1496,1500121
2012-05-28,730.9992,734.9490,712.4994,717.1992,1495021
2012-05-25,723.8994,741.9990,715.8492,731.0994,6601542
2012-05-24,753.8994,758.7990,720.9996,725.8992,3979552
2012-05-23,731.9994,735.8994,718.1994,721.8996,645229
2012-05-22,735.7992,737.1492,722.9994,728.0994,655993
2012-05-21,732.9996,737.5992,721.9992,725.6994,402792
2012-05-18,728.6994,741.5994,721.6494,724.5996,538057
2012-05-17,753.8994,758.8494,732.1494,734.9994,965413
2012-05-16,728.9994,768.3990,728.9994,751.7994,2206802
2012-05-15,712.9992,739.5990,712.9992,728.1492,2328590
2012-05-14,705.9996,715.6494,703.6494,710.4492,739981
2012-05-11,703.9992,714.2496,690.4992,700.9494,836053
2012-05-10,690.4992,706.9992,689.9994,704.2992,585865
2012-05-09,676.9992,694.9992,672.0492,684.8496,482076
2012-05-08,689.9994,694.9992,667.0992,677.8992,417360
2012-05-07,653.9994,696.4992,653.9994,684.6492,1158733
